Name,Store,Price,Current Type,CORRECTED TYPE (write here),Vivino Score,URL
Spanje Bag in Box Mucho Mas 3L,Carrefour,15.99,Red,,3.8,https://www.carrefour.be/fr/spanje-bag-in-box-mucho-mas-3l/06491276.html
La Croix Carillan Bourgogne grand ordinaire 75 cl,Carrefour,4.99,Red,,2.9,https://www.carrefour.be/fr/la-croix-carillan-bourgogne-grand-ordinaire-75-cl/04939827.html
Saumur Grande Réserve 75 cl,Carrefour,5.99,White,,3.8,https://www.carrefour.be/fr/saumur-grande-reserve-75-cl/04939945.html
Loire Muscadet Sèvre-et-Maine La Cave d'Augustin Florent 75cl,Carrefour,6.99,White,,3.4,https://www.carrefour.be/fr/loire-muscadet-sevre-et-maine-la-cave-daugustin-florent-75cl/04968013.html
La Cave d'Augustin Florent Languedoc 75 cl,Carrefour,4.99,Rosé,,3.4,https://www.carrefour.be/fr/la-cave-daugustin-florent-languedoc-75-cl/04939850.html
Vin de Messe Doux 75 cl,Carrefour,4.59,White,,3.9,https://www.carrefour.be/fr/vin-de-messe-doux-75-cl/00163310.html
Glühwein Gerstacker 1L,Carrefour,3.99,Other,,3.8,https://www.carrefour.be/fr/gluhwein-gerstacker-1l/01479196.html
Aude,Carrefour,2.99,Red,,3.5,https://www.carrefour.be/fr/aude/06785381.html
Christkindles Glühwein 1L,Carrefour,2.99,Red,,3.8,https://www.carrefour.be/fr/christkindles-gluhwein-1l/01490752.html
Côte du Rhône La Résistance Bio 75cl,Carrefour,9.99,Red,,3.8,https://www.carrefour.be/fr/cote-du-rhone-la-resistance-bio-75cl/05910841.html
Vallée du Rhône Châteauneuf du Pape Castel 75cl,Carrefour,20.99,Red,,4.1,https://www.carrefour.be/fr/vallee-du-rhone-chateauneuf-du-pape-castel-75cl/05889227.html
Bourgogne Cote Chalonnaise Mont-Avril,Carrefour,13.99,Red,,3.6,https://www.carrefour.be/fr/bourgogne-cote-chalonnaise-mont-avril/06887640.html
The Fortune Bar Glühwein 0% alc. 75cl,Carrefour,6.99,Red,,0,https://www.carrefour.be/fr/the-fortune-bar-gluhwein-0-alc.-75cl/06993626.html
IGPOC TENT.LALANDE SV BIB BL4X,Carrefour,71.96,White,,4.0,https://www.carrefour.be/fr/igpoc-tent.lalande-sv-bib-bl4x/05289715.html
AH Glühwein,Albert Heijn,2.59,Red,,3.6,https://www.ah.be/producten/product/wi166391/ah-gluhwein
Rucio Sangria,Albert Heijn,1.99,Other,,0,https://www.ah.be/producten/product/wi195779/rucio-sangria
Vruchtenwijn frambozen-bessen,Albert Heijn,4.99,Other,,3.3,https://www.ah.be/producten/product/wi34091/vruchtenwijn-frambozen-bessen
Rucio Sangria original bag in box,Albert Heijn,6.99,Other,,3.8,https://www.ah.be/producten/product/wi594779/rucio-sangria-original-bag-in-box
AH Excellent Selectie martinez port late vintage,Albert Heijn,10.99,Other,,3.8,https://www.ah.be/producten/product/wi560446/ah-excellent-selectie-martinez-port-late-vintage
Thank You for Downloading WineVino! 🎉,WineVino Team,Free,Other,,5.0,
